reference_number,inn,common_ingredients,cas_number,ec_number,product_type,maximum_concentration,other,wording_of_conditions,regulation,regulated_by,other_regulations,sccs_opinions,chemical_name,identified_ingredients,cmr,update_date
2a,"Thioglycolic acid and its salts","THIOGLYCOLIC ACID",68-11-1,200-677-4,"(a) Hair products

(b) Depilatories

(c) Hair rinse-off products 

(d) Products intended for eyelash waving","(a) (i) 8%    (ii) 11% 

(b) 5% 

(c) 2%
 
(d) 11% The abovementioned percentages are calculated as thioglycollic acid","(a) (i) General use ready for use pH 7 to 9.5        (ii) Professional use ready for use pH 7 to 9.5

(b) ready for use pH 7 to 12.7

(c) ready for use pH 7 to 9.5

(d) ready for use pH 7 to 9,5


","Conditions of use:

(a) (b) (c) (d)
Avoid contact with eyes
Rinse eyes immediately if product comes into contact with them.

(a) (c) (d)
Wear suitable gloves

Warnings to be printed on the label:
(a)(i) (b) (c)
Contains thioglycolate
Follow the instructions
Keep out of reach of children

(a)(ii) (d)
For professional use only
Contains thioglycolate
Follow the instructions’
","(EU) 2015/1190",,"Thioglycolic acid and its salts (TGA)","Thioglycolic acid and its salts","AMMONIUM THIOGLYCOLATE,CALCIUM THIOGLYCOLATE,ETHANOLAMINE THIOGLYCOLATE,MAGNESIUM THIOGLYCOLATE,POTASSIUM THIOGLYCOLATE,SODIUM THIOGLYCOLATE,STRONTIUM THIOGLYCOLATE,THIOGLYCOLIC ACID,CALCIUM THIOGLYCOLATE HYDROXIDE",,27/07/2020
9b,"1-Methyl-2,6-bis-(2-hydroxyethylamino)-benzene","2,6-Dihydroxyethylaminotoluene",149330-25-6;,443-210-1;,"Hair dye substance in oxidative hair dye products  ",,"As from 3 September 2017, after mixing under oxidative conditions the maximum concentration applied to hair must not exceed 1,0 %

—Do not use with nitrosating agents
—Maximum nitrosamine content: 50 μg/kg
—Keep in nitrite-free containers","As from 3 March 2018, to be printed on the label:

The mixing ratio.

Hair colourants can cause severe allergic reactions.

Read and follow instructions.

This product is not intended for use on persons under the age of 16.

Temporary ‘black henna’ tattoos may increase your risk of allergy.

Do not colour your hair if:
—you have a rash on your face or sensitive, irritated and damaged scalp,
—you have ever experienced any reaction after colouring your hair,
—you have experienced a reaction to a temporary ‘black henna’ tattoo in the past”.’","(EC) 2009/1223",,,"1-Methyl-2,6-bis-(2-hydroxyethylamino)-benzene",,,05/08/2019
9,"Methylphenylenediamines, their N-substituted derivatives and their salts (1) with the exception of the substance under reference number 9a in this annex and substances under reference numbers 364, 1310 and 1313 in Annex II",-,-,-,"Hair dye substance in oxidative hair dye products","(a) General use
(b) Professional use
For (a) and (b): After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 5 % calculated as free base",,"(a) To be printed on the label: The mixing ratio. “ Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase your risk of allergy. Do not colour your hair if: — you have a rash on your face or sensitive, irritated and damaged scalp, — you have ever experienced any reaction after colouring your hair, — you have experienced a reaction to a temporary ‘black henna’ tattoo in the past.
Contains phenylenediamines (toluenediamines). Do not use to dye eyelashes or eyebrows.”

(b) To be printed on the label: The mixing ratio. “For professional use only Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase your risk of allergy. Do not colour your hair if: — you have a rash on your face or sensitive, irritated and damaged scalp, — you have ever experienced any reaction after colouring your hair, — you have experienced a reaction to a temporary ‘black henna’ tattoo in the past. Contains phenylenediamines (toluenediamines). Wear suitable gloves.”","(EC) 2013/344",,"Opinion concerning 2,6-Dihydroxyethylaminotoluene,Updated Recommended Strategy for Testing Hair Dyes for Their Potential Genotoxicity/Mutagenicity/Carcinogenicity,Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004,Opinion on Personal Use of Hair Dyes and Cancer Risk,Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk,Assessment Strategies for Hair Dyes,Updated Recommended Strategy for Testing Oxidative Hair Dye Substances for their Potential Mutagenicity/Genotoxicity,Opinion on Toluene-2,5-diamine,Memorandum on Hair Dye Substances and their Skin Sensitising Properties",,"2,6-DIHYDROXYETHYLAMINOTOLUENE",,17/06/2014
9,"Methylphenylenediamines, their N- substituted derivatives and their salts (1), with the exception of the substance listed under reference numbers 9 a and 9 b of this Annex and the substances listed under reference numbers 364, 413, 1144, 1310, 1313 and 1507 of Annex II",-,-,-,"Hair dye substance in oxidative hair dye products",,"(a) General use
(b) Professional use

For (a) and (b): After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 5 % calculated as free base
","(a) To be printed on the label: 
The mixing ratio.
‘ Hair colourants can cause severe allergic reactions. 
Read and follow instructions.
This product is not intended for use on persons under the age of 16.
Temporary “black henna” tattoos may increase your risk of allergy.
 Do not colour your hair if: — you have a rash on your face or sensitive, irritated and damaged scalp, — you have ever experienced any reaction after colouring your hair, — you have experienced a reaction to a temporary “black henna” tattoo in the past.
Contains phenylenediamines (toluenediamines).
 Do not use to dye eyelashes or eyebrows.’

(b) To be printed on the label:
The mixing ratio.
‘For professional use only Hair colourants can cause severe allergic reactions. 
Read and follow instructions.
This product is not intended for use on persons under the age of 16.
Temporary “black henna” tattoos may increase your risk of allergy.
Do not colour your hair if: — you have a rash on your face or sensitive, irritated and damaged scalp,
— you have ever experienced any reaction after colouring your hair,
 — you have experienced a reaction to a temporary “black henna” tattoo in the past.
Contains phenylenediamines (toluenediamines).
Wear suitable gloves.’
","(EC) 2009/1223",,,"Methylphenylenediamines, their N- substituted derivatives and their salts (1), with the exception of the substance listed under reference numbers 9 a and 9 b of this Annex and the substances listed under reference numbers 364, 413, 1144, 1310, 1313 and 1507 of Annex II",,,04/12/2019
10,"Diaminophenols (1)",-,-,-,"Oxidising colouring agents for hair dyeing","10% (as free base)","(a) General use
Not to be used on eyebrows
(b) Professional use","(a) Can cause an allergic reaction
Do not use to dye eyleashes or eyebrows
(b) For professional use only
Can cause an allergic reaction
Wear suitable gloves
","(EC) 2009/1223",,,,,,17/10/2010
11,Dichlorophen,DICHLOROPHEN,97-23-4,202-567-1,,0.5%,,"Contains Dichlorophen","(EC) 2009/1223",,,,DICHLOROPHENE,,04/11/2010
12,"Hydrogen peroxide and other compounds or mixtures that release hydrogen peroxide, including carbamide peroxide and zinc peroxide,  with the exception of  the following substances in Annex II: No 1397, 1398, 1399","HYDROGEN PEROXIDE",7722-84-1,231-765-0,"(a) Hair products

(b) Skin products

(c) Nail hardening products

(d) Oral products, including mouth rinse, tooth paste and tooth whitening or bleaching products

(e) Tooth whitening or bleaching products

(f) Products intended for eyelashes




","(a) 12 % of H2O2 (40 volumes), present or released

(b) 4 % of H2O2, present or released

(c) 2 % of H2O2, present or released

(d) ≤ 0,1 % of H2O2, present or released

(e) > 0,1 % ≤ 6 % of H2O2, present or released

(f) 2 % of H2O2, present or released
","(e) To be only sold to dental practitioners. For each cycle of use, first use by dental practitioners as defined under Directive 2005/36/EC of the European Parliament and of the Council* or under their direct supervision if an equivalent level of safety is ensured.
Afterwards to be provided to the consumer to complete the cycle of use.
Not to be used on a person under 18 years of age.

(f) For professional use only
","(a) (f) Wear suitable gloves 

(a) (b) (c) (e) 
Contains hydrogen peroxide 
Avoid contact with eyes 
Rinse immediately if product comes into contact with them.

(e) Concentration of H2O2 present or released indicated in percentage. 
Not to be used on a person under 18 years of age. 
To be only sold to dental practitioners. For each cycle of use, the first use to be only done by dental practitioners or under their direct supervision if an equivalent level of safety is ensured.
Afterwards to be provided to the consumer to complete the cycle of use.

f) To be printed on the label:
‘For professional use only.
Avoid contact with eyes. 
Rinse eyes immediately if product comes into contact with them. 
Contains hydrogen peroxide
","(EU) 2019/831",,"Opinion on Hydrogen Peroxide in Tooth Whitening products,Opinion concerning Hydrogen (Carbamide, Zinc) Peroxide in Tooth Bleaching/Whitening Products,Guidance document on Epidemiological and clinical studies on Tooth Whitening Products,Opinion of concerning Hydrogen (Carbamide) Peroxide in Tooth Whitening Products,Clarification on Hydrogen (Carbamide) peroxide in Tooth Whitening Products,Opinion concerning Hydrogen Peroxide and Hydrogen Peroxide releasing Substances used in Oral Care Products,Opinion on Hydrogen peroxide, in its free form or when released, oral hygiene products","Hydrogen peroxide and other compounds or mixtures that release hydrogen peroxide, including carbamide peroxide and zinc peroxide,  with the exception of  the following substances in Annex II: No 1397, 1398, 1399","CALCIUM PEROXIDE,HYDROGEN PEROXIDE,MAGNESIUM PEROXIDE,SODIUM CARBONATE PEROXIDE,SODIUM PERBORATE,STRONTIUM PEROXIDE,UREA PEROXIDE,ZINC PEROXIDE,PVP-HYDROGEN PEROXIDE",,27/07/2020
14,Hydroquinone,HYDROQUINONE,123-31-9,204-617-8,"Artificial nail systems
","0.02% (after mixing for use)
","Professional use ","- For professional use only 
- Avoid skin contact 
- Read directions for use carefully
","(EC) 2013/344",,"Opinion on The Use of Benzoyl Peroxide (BPO), Hydroquinone (HQ), Hydroquinone methylether (MEHQ) in artificial nail systems,Opinion concerning Hydroquinone (1,4-Dihydroxybenzene) as a Hair Dye Constituent,Foreseeable use of hair dyes",,"HYDROQUINONE,","Carcinogenic Cat. 2(),Mutagenic Cat. 2()",14/05/2013
15a,"Potassium or sodium hydroxide","POTASSIUM HYDROXIDE / SODIUM HYDROXIDE","1310-58-3 / 1310-73-2","215-181-3 / 215-185-5","(a) Nail cuticle solvent
(b) Hair straightener
(c) pH adjuster for depilatories
(d) Other uses as pH adjuster
Callosity softener/remover (entry 15d)","(a) 5%
(b) 2% (General use) and 4.5% (Professional use)
Entry 15d: 1,5%","(b)
1. General use
2. Professional use
(c) up to pH 12.7
(d) up to pH 11

15 d Contains alcakali, Avoid contact with eyes
Keep out of reach of chindren ans Read directions for use carefully
","(a) Contains alkali 
Avoid contact with eyes 
Can cause blindness 
Keep out of reach of children
(b) 1. Contains alkali
Avoid contact with eyes 
Can cause blindness 
Keep out of reach of children
2. For professional use only 
Avoid contact with eyes 
Can cause blindness
(c) Keep out of reach of children 
Avoid contact with eyes
","(EU) 2016/622",,,,"POTASSIUM HYDROXIDE,SODIUM HYDROXIDE",,11/01/2024
15b,"Lithium hydroxide","LITHIUM HYDROXIDE",1310-65-2,215-183-4,"(a) Hair straightener
(b) pH ajuster for depilatories
(c) Other uses as pH ajuster (for rinse-off products only)

","(a) 
1. 2% (6)
2. 4.5% (6)
","(a)
1. General use
2. Professional use
(b) pH < 12.7
(c) pH < 11","(a) 
1. Contains alkali 
Avoid contact with eyes 
Can cause blindness 
Keep out of reach of children
2. Avoid contact with eyes 
Can cause blindness
(b) Contains alkali 
Keep out of reach of children 
Avoid contact with eyes
","(EC) 2009/1223",,"Opinion on Lithium Hydroxyde and Calcium Hydroxide",,"LITHIUM HYDROXIDE",,17/10/2010
15c,"Calcium hydroxide","CALCIUM HYDROXIDE",1305-62-0,215-137-3,"(a) Hair straighteners containing two components: calcium hydroxide and a guanidine salt
(b) pH ajuster for depilatories
(c) Other uses (e.g. pH adjuster, processing aid)
","(a) 7% (as calcium hydroxide)
","(b) pH < 12.7
(c) pH < 11
","(a) Contains alkali
Avoid contact with eyes 
Keep out of reach of children 
Can cause blindness
(b) Contains alkali 
Keep out of reach of children 
Avoid contact with eyes
","(EC) 2009/1223",,"Opinion on Lithium Hydroxyde and Calcium Hydroxide",,"CALCIUM HYDROXIDE",,17/10/2010
16,"1-Naphthol and its salts",1-NAPHTHOL,90-15-3,201-969-4,"Hair dye substance in oxidative hair dye products",,"After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 1 % calculated as free base","Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase your risk of allergy. Do not colour your hair if: — you have a rash on your face or sensitive, irritated and damaged scalp, — you have ever experienced any reaction after colouring your hair, — you have experienced a reaction to a temporary ‘black henna’ tattoo in the past","(EC) 2013/344",,"Updated Recommended Strategy for Testing Hair Dyes for Their Potential Genotoxicity/Mutagenicity/Carcinogenicity,Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004,Opinion on Personal Use of Hair Dyes and Cancer Risk,Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk,Assessment Strategies for Hair Dyes,Updated Recommended Strategy for Testing Oxidative Hair Dye Substances for their Potential Mutagenicity/Genotoxicity,Opinion concerning 1-Naphthol,Memorandum on Hair Dye Substances and their Skin Sensitising Properties,Opinion on 1-Naphthol",,"1-NAPHTHOL,",,14/05/2013
16,"1- Naphthalenol",1-Naphthol,90-15-3,201-969-4,"Hair dye substance in oxidative hair dye products",,"After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 2,0%","To be printed on the label:
Hair colorants can cause severe allergic reactions.","(EU) 2013/658",,,"1- Naphthalenol",,,09/09/2013
17,"Sodium nitrite","SODIUM NITRITE",7632-00-0,231-555-9,"Rust inhibitor",0.2%,"Not to be used with secondary and/or tertiary amines or other substances forming nitrosamines",,"(EC) 2009/1223",,,,"SODIUM NITRITE",,17/10/2010
18,Nitromethane,NITROMETHANE,75-52-5,200-876-6,"Rust inhibitor",0.3%,,,"(EC) 2009/1223",,,,NITROMETHANE,,17/10/2010
19,"Moved or deleted",-,-,-,,,,,"(EC) 2009/1223",,,,,,03/10/2016
21,"Cinchonan-9-ol, 6'-methoxy-, (8.alpha.,9R)- its salts",QUININE,130-95-0,205-003-2,"(a) Hair rinse-off products
(b) Hair leave-on products
","(a) 0.5% (as quinine base)
(b) 0.2% (as quinine base)
",,,"(EC) 2009/1223",,,"(8S,9R)-6'-Methoxycinchonan-9-ol 
",QUININE,,17/10/2010
22,"1,3-benzenediol",RESORCINOL,108-46-3,203-585-2,"(a) Hair dye substance in oxidative hair dye products
(b) Products intended for colouring eyelashes
(c) Hair lotions and shampoos","(c) 0,5%","(For (a) and (b):  After mixing under oxidative conditions the maximum concentration applied to hair or eyeslashes must not exceed 1,25 % 
(b)  Professional use only
","(a) To be printed on the label: The mixing ratio. “ Hair colorants can cause severe allergic reactions.
Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase your risk of allergy. Do not colour your hair if: — you have a rash on your face or sensitive, irritated and damaged scalp, — you have ever experienced any reaction after colouring your hair, — you have experienced a reaction to a temporary ‘black henna’ tattoo in the past. Contains resorcinol. Rinse hair well after application. Rinse eyes immediately if product comes into contact with them.‘Do not use to dye eyelashes.
(b) To be printed on the label: The mixing ratio. “For professional use only. Contains resorcinol. This product can cause severe allergic reactions. Read and follow instructions.This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase the risk of allergy. Eyelashes shall not be coloured if the consumer: — has a rash on the face or sensitive, irritated and damaged scalp, — has experienced any reaction after colouring hair or eyelashes, — has experienced a reaction to a temporary ‘black henna’ tattoo in the past. Rinse eyes immediately if product comes into contact with them.”
(c) Contains resorcinol.’","(EC) 2013/1197",,"Memorandum on Hair Dye Substances and their Skin Sensitising Properties,Opinion on Resorcinol,Opinion on Resorcinol,OPINION on Resorcinol","1,3-benzenediol",RESORCINOL,,11/11/2022
23,"(a) Alkali sulphides 
(b) Alkaline earth sulphides",-,-,-,"(a) Depilatories 
(b) Depilatories","(a) 2% (as sulphur)
(b) 6% (as sulphur) ",pH,"(a) (b) 
Keep out of reach of children 
Avoid contact with eyes","(EC) 2009/1223",,,,"BARIUM SULFIDE,CALCIUM SULFIDE,LITHIUM SULFIDE,MAGNESIUM SULFIDE,SODIUM SULFIDE,STRONTIUM SULFIDE,POTASSIUM SULFIDE",,17/10/2010
