reference_number,inn,cas_number,ec_number,regulation,regulated_by,other_regulations,sccs_opinions,chemical_name,identified_ingredients,cmr,update_date
47,Benzene,71-43-2,200-753-7,"(EC) 2009/1223","(EC) 2009/552 - as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight",,,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","Carcinogenic Cat. 1A(),Mutagenic Cat. 1B()",28/10/2010
48,Benzimidazol-2(3H)-one,615-16-7,210-412-4,"(EC) 2009/1223",,,"2H-Benzimidazol-2-one, 1,3-dihydro-; N,N'-(1,2-Phenyleneurea) 
 
",,,15/10/2010
49,"Benzazepines and benzodiazepines",12794-10-4,-,"(EC) 2009/1223",,,,",,,",,17/10/2010
50,"1-Dimethylaminomethyl-1-methylpropyl benzoate (amylocaine) and its salts",644-26-8,211-411-1,"(EC) 2009/1223",,,,,,15/10/2010
51,"2,2,6-Trimethyl-4-piperidyl benzoate (eucaine) and its salts",500-34-5,-,"(EC) 2009/1223",,,Eucaine,,,17/10/2010
52,"Isocarboxazid (INN)",59-63-2,200-438-4,"(EC) 2009/1223",,,,,,17/10/2010
53,"Bendroflumethiazide (INN) and its derivatives",73-48-3,200-800-1,"(EC) 2009/1223",,,,,,17/10/2010
54,"Beryllium and its compounds",7440-41-7,231-150-7,"(EC) 2009/1223",,,,"EMERALD,,,",,17/10/2010
55,"Bromine, elemental",7726-95-6,231-778-1,"(EC) 2009/1223",,,,,,15/10/2010
56,"Bretylium tosilate (INN)",61-75-6,200-516-8,"(EC) 2009/1223",,,,,,17/10/2010
57,"Carbromal (INN)",77-65-6,201-046-6,"(EC) 2009/1223",,,,,,17/10/2010
58,"Bromisoval (INN)",496-67-3,207-825-7,"(EC) 2009/1223",,,,,,17/10/2010
59,"Brompheniramine (INN) and its salts",86-22-6,201-657-8,"(EC) 2009/1223",,,"2-Pyridinepropanamine, gamma-(4-bromophenyl)-N,N-dimethyl- 
",,,17/10/2010
60,"Benzilonium bromide (INN)",1050-48-2,213-885-5,"(EC) 2009/1223",,,,,,17/10/2010
61,"Tetrylammonium bromide (INN)",71-91-0,200-769-4,"(EC) 2009/1223",,,,,,15/10/2010
62,Brucine,357-57-3,206-614-7,"(EC) 2009/1223",,,,,,15/10/2010
63,"Tetracaine (INN) and its salts",94-24-6,202-316-6,"(EC) 2009/1223",,,,",",,17/10/2010
64,"Mofebutazone (INN)",2210-63-1,218-641-1,"(EC) 2009/1223",,,,,,17/10/2010
65,"Tolbutamide (INN)",64-77-7,200-594-3,"(EC) 2009/1223",,,,,,17/10/2010
66,"Carbutamide (INN)",339-43-5,206-424-4,"(EC) 2009/1223",,,,,,17/10/2010
67,"Phenylbutazone (INN)",50-33-9,200-029-0,"(EC) 2009/1223",,,,,,17/10/2010
69,"Cantharides, Cantharis vesicatoria",92457-17-5,296-298-7,"(EC) 2009/1223",,,,,,15/10/2010
70,Cantharidine,56-25-7,200-263-3,"(EC) 2009/1223",,,"4,7-Epoxyisobenzofuran-1,3-dione, hexahydro-3a,7a-dimethyl-, (3aalpha,4beta,7beta,7aalpha)-;  7-Oxabicyclo(2.2.1)heptane-2,3-dicarboxylic anhydride, 2,3-dimethyl-; (1R,2S)-Hexahydro-1,2-dimethyl-3,6-epoxyphthalic anhydride 

",,,17/10/2010
71,"Phenprobamate (INN)",673-31-4,211-606-1,"(EC) 2009/1223",,,"Benzenepropanol, carbamate",,,17/10/2010
72,"Nitroderivatives of carbazole",-,-,"(EC) 2009/1223",,,,",,,",,15/10/2010
73,"Carbon disulphide",75-15-0,200-843-6,"(EC) 2009/1223",,,,,"Reprotoxic Cat. 2(C=>1%)",15/10/2010
74,Catalase,9001-05-2,232-577-1,"(EC) 2009/1223",,,Catalase,CATALASE,,03/08/2020
75,"Cephaeline and its salts",483-17-0,207-591-6,"(EC) 2009/1223",,,,,,15/10/2010
76,"Chenopodium ambrosioides L. (essential oil)",8006-99-3,-,"(EC) 2009/1223",,,,,,17/10/2010
77,"2,2,2-Trichloroethane-1,1-diol",302-17-0,206-117-5,"(EC) 2009/1223",,,,,,15/10/2010
78,Chlorine,7782-50-5,231-959-5,"(EC) 2009/1223",,,,,,15/10/2010
79,"Chlorpropamide (INN)",94-20-2,202-314-5,"(EC) 2009/1223",,,,,,17/10/2010
80,"Moved or deleted",-,-,"(EC) 2009/1223",,,,,,03/10/2016
81,"4-Phenylazophenylene-1,3-diamine citrate hydrochloride (Chrysoidine citrate hydrochloride)",5909-04-6,-,"(EC) 2009/1223",,,,,,17/10/2010
82,"Chlorzoxazone (INN)",95-25-0,202-403-9,"(EC) 2009/1223",,,,,,17/10/2010
83,"2-Chloro-6-methylpyrimidin-4-yldimethylamine (crimidine-ISO)",535-89-7,208-622-6,"(EC) 2009/1223",,,,,,17/10/2010
84,"Chlorprothixene (INN) and its salts",113-59-7,204-032-8,"(EC) 2009/1223",,,,,,17/10/2010
85,"Clofenamide (INN)",671-95-4,211-588-5,"(EC) 2009/1223",,,"4-Chloro-m-benzenedisulfonamide 
",,,17/10/2010
86,"N,N-bis(2-Chloroethyl)methylamine N-oxide and its salts",126-85-2,-,"(EC) 2009/1223",,,"Nitrogen mustard N-oxide
",,,17/10/2010
87,"Chlormethine (INN) and its salts",51-75-2,200-120-5,"(EC) 2009/1223",,,"Mechlorethamine; 2-Chloro-N-(2-chloroethyl)-N-methylethanamine 

",",,",,17/10/2010
88,"Cyclophosphamide (INN) and its salts",50-18-0,200-015-4,"(EC) 2009/1223",,,"2H-1,3,2-Oxazaphosphorin-2-amine, N,N-bis(2-chloroethyl)tetrahydro-, 2-oxide ",,,17/10/2010
89,"Mannomustine (INN) and its salts",576-68-1,209-404-3,"(EC) 2009/1223",,,"1,6-Bis((2-chloroethyl)amino)-1,6-dideoxy-D-mannitol 
",,,17/10/2010
90,"Butanilicaine (INN) and its salts",3785-21-5,-,"(EC) 2009/1223",,,"2-Butylamino-6'-chloro-o-acetotoluidide ",",",,17/10/2010
91,"Chlormezanone (INN)",80-77-3,201-307-4,"(EC) 2009/1223",,,"2-(p-Chlorophenyl)tetrahydro-3-methyl-4H-1,3-thiazin-4-one 1,1-dioxide ",,,17/10/2010
92,"Triparanol (INN)",78-41-1,201-115-0,"(EC) 2009/1223",,,"Benzeneethanol, 4-chloro-alpha-(4-(2-(diethylamino)ethoxy)phenyl)-alpha-(4-methylphenyl)- ",,,17/10/2010
93,"2-[2-(4-Chlorophenyl)-2-phenylacetyl]indan 1,3-dione (chlorophacinone - ISO)",3691-35-8,223-003-0,"(EC) 2009/1223",,,"2-[2-(4-chlorophenyl)phenylacetyl]indan 1,3-dione",,,15/10/2010
94,"Chlorphenoxamine (INN)",77-38-3,-,"(EC) 2009/1223",,,"Ethanamine, 2-(1-(4-chlorophenyl)-1-phenylethoxy)-N,N-dimethyl- ",,,17/10/2010
95,"Phenaglycodol (INN)",79-93-6,201-235-3,"(EC) 2009/1223",,,"2,3-Butanediol, 2-(4-chlorophenyl)-3-methyl-",,,17/10/2010
96,Chloroethane,75-00-3,200-830-5,"(EC) 2009/1223",,,,,"Carcinogenic Cat. 2()",15/10/2010
97,"Chromium; chromic acid and its salts",7440-47-3,231-157-5,"(EC) 2009/1223",,,,",,,,,,,,,,,,,,,,,,CHROMIUM",,17/10/2010
98,"Claviceps purpurea Tul., its alkaloids and galenical preparations",84775-56-4,283-885-8,"(EC) 2009/1223",,,,,,15/10/2010
99,"Conium maculatum L. (fruit, powder, galenical preparations)",85116-75-2,285-527-6,"(EC) 2009/1223",,,,"CONIUM MACULATUM ROOT EXTRACT",,15/10/2010
100,"Glycyclamide (INN)",664-95-9,211-557-6,"(EC) 2009/1223",,,"Benzenesulfonamide, N-((cyclohexylamino)carbonyl)-4-methyl- ",,,17/10/2010
101,"Cobalt benzenesulphonate",23384-69-2,-,"(EC) 2009/1223",,,,,,17/10/2010
102,"Colchicine, its salts and derivatives",64-86-8,200-598-5,"(EC) 2009/1223","(EC) 2009/790",,"Acetamide, N-((7S)-5,6,7,9-tetrahydro-1,2,3,10-tetramethoxy-9-oxobenzo(a)heptalen-7-yl)- 
",,"Mutagenic Cat. 1B()",29/10/2010
103,"Colchicoside and its derivatives",477-29-2,207-513-0,"(EC) 2009/1223",,,,,,15/10/2010
104,"Colchicum autumnale L. and its galenical preparations",84696-03-7,283-623-2,"(EC) 2009/1223",,,,,,15/10/2010
105,Convallatoxin,508-75-8,208-086-3,"(EC) 2009/1223",,,"Card-20(22)-enolide, 3-((6-deoxy-alpha-L-mannopyranosyl)oxy)-5,14-dihydroxy-19-oxo-, (3beta,5beta)- 
",,,15/10/2010
106,"Anamirta cocculus L. (fruit)",-,-,"(EC) 2009/1223",,,,,,15/10/2010
107,"Croton tiglium L. (oil)",8001-28-3,-,"(EC) 2009/1223",,,,,,17/10/2010
108,1-Butyl-3-(N-crotonoylsulphanilyl)urea,52964-42-8,-,"(EC) 2009/1223",,,,,,17/10/2010
109,"Curare and curarine","8063-06-7 / 22260-42-0","232-511-1 / 244-880-6","(EC) 2009/1223",,,"Tubocuraranium, 7',12'-dihydroxy-6,6'-dimethoxy-2,2,2',2'-tetramethyl-, (1'-alpha)- (Curarine) 
",,,15/10/2010
110,"Synthetic curarizants",-,-,"(EC) 2009/1223",,,,",",,15/10/2010
111,"Hydrogen cyanide and its salts",74-90-8,200-821-6,"(EC) 2009/1223",,,,",",,15/10/2010
112,"Feclemine (INN); 2-(alpha-Cyclohexylbenzyl)-N,N,N',N'-tetraethyl-1,3-propanediamine",3590-16-7,-,"(EC) 2009/1223",,,,,,17/10/2010
113,"Cyclomenol (INN) and its salts",5591-47-9,227-002-6,"(EC) 2009/1223",,,"2-Cyclohexyl-3,5-xylenol 
",,,17/10/2010
114,"Sodium hexacyclonate (INN)",7009-49-6,-,"(EC) 2009/1223",,,,,,15/10/2010
115,"Hexapropymate (INN)",358-52-1,206-618-9,"(EC) 2009/1223",,,,,,15/10/2010
116,"Moved or deleted",-,-,"(EC) 2009/1223",,,,,,03/10/2016
117,"O,O'-Diacetyl-N-allyl-N-normorphine; Diacetylnalorphine",2748-74-5,-,"(EC) 2009/1223",,,,,,20/10/2010
118,"Pipazetate (INN) and its salts",2167-85-3,218-508-8,"(EC) 2009/1223",,,,,,20/10/2010
119,"5-(alpha,beta-Dibromophenethyl)-5-methylhydantoin",511-75-1,208-133-8,"(EC) 2009/1223",,,,,,15/10/2010
120,"N,N'-Pentamethylenebis(trimethylammonium) salts, e.g. pentamethonium bromide (INN)",541-20-8,208-771-7,"(EC) 2009/1223",,,,",",,20/10/2010
121,"N,N'-[(Methylimino)diethylene]bis(ethyldimethylammonium) salts, e.g. azamethonium bromide (INN)",306-53-6,206-186-1,"(EC) 2009/1223",,,,,,20/10/2010
122,"Cyclarbamate (INN)",5779-54-4,227-302-7,"(EC) 2009/1223",,,,,,20/10/2010
123,"Clofenotane (INN); DDT (ISO)",50-29-3,200-024-3,"(EC) 2009/1223",,,"dicophane;1,1,1-trichloro-2,2-bis((4-chlorophenyl)ethane; dichlorodiphenyltrichloroethane",,"Carcinogenic Cat. 2()",20/10/2010
124,"N,N'-Hexamethylenebis (trimethylammonium) salts, e.g. hexamethonium bromide (INN)",55-97-0,200-249-7,"(EC) 2009/1223",,,,",,,",,20/10/2010
125,"Dichloroethanes (ethylene chlorides) e.g. 1,2-Dichloroethane",107-06-2,203-458-1,"(EC) 2009/1223",,,,",ETHYLENE DICHLORIDE",,20/10/2010
126,"Dichloroethylenes (acetylene chlorides) e.g. Vinylidene chloride (1,1-Dichloroethylene)",75-35-4,"200-864- 0","(EC) 2009/1223",,,,",,,,,",,20/10/2010
127,"Lysergide (INN) (LSD) and its salts",50-37-3,200-033-2,"(EC) 2009/1223",,,"9,10-didehydro-N,N-diethyl-6-methylergoline-8beta-carboxamide",,,20/10/2010
128,"2-Diethylaminoethyl 3-hydroxy-4-phenylbenzoate and its salts",3572-52-9,222-686-2,"(EC) 2009/1223",,,,,,15/10/2010
129,"Cinchocaine (INN) and its salts",85-79-0,201-632-1,"(EC) 2009/1223",,,"4-Quinolinecarboxamide, 2-butoxy-N-(2-(diethylamino)ethyl)- 
",,,20/10/2010
130,"3-Diethylaminopropyl cinnamate",538-66-9,-,"(EC) 2009/1223",,,,,,15/10/2010
131,"O,O'-Diethyl-O-4-nitrophenyl phosphorothioate (Parathion - ISO)",56-38-2,200-271-7,"(EC) 2009/1223",,,"O,O-Diethyl O-4-nitrophenyl phosphorothioate",,,20/10/2010
132,"[Oxalylbis(iminoethylene)]bis[(o-chlorobenzyl)diethylammonium] salts, e.g. ambenonium chloride (INN)",115-79-7,204-107-5,"(EC) 2009/1223",,,,,,15/10/2010
133,"Methyprylon (INN) and its salts",125-64-4,204-745-4,"(EC) 2009/1223",,,,,,20/10/2010
134,"Digitaline and all heterosides of Digitalis purpurea L.",752-61-4,212-036-6,"(EC) 2009/1223",,,,,,15/10/2010
135,"7-[2-Hydroxy-3-(N-(2-hydroxyethyl)-N-methylamino)propyl]theophylline; (Xanthinol)",2530-97-4,-,"(EC) 2009/1223",,,,,,15/10/2010
136,"Dioxethedrin (INN) and its salts",497-75-6,207-849-8,"(EC) 2009/1223",,,,,,15/10/2010
137,"Piprocurarium iodide (INN)",3562-55-8,222-627-0,"(EC) 2009/1223",,,,,,20/10/2010
138,"Propyphenazone (INN)",479-92-5,207-539-2,"(EC) 2009/1223",,,,,,20/10/2010
139,"Tetrabenazine (INN) and its salts",58-46-8,200-383-6,"(EC) 2009/1223",,,,,,20/10/2010
140,"Captodiame (INN)",486-17-9,207-629-1,"(EC) 2009/1223",,,"Ethanamine, 2-(((4-(butylthio)phenyl)phenylmethyl)thio)-N,N-dimethyl- ; 2-((p-(Butylthio)-alpha-phenylbenzyl)thio)-N,N-dimethylethylamine 
 
",,,20/10/2010
141,"Mefeclorazine (INN) and its salts",1243-33-0,-,"(EC) 2009/1223",,,"1-o-Chlorophenyl-4-(3,4-dimethoxyphenethyl)piperazine ",,,20/10/2010
142,Dimethylamine,124-40-3,204-697-4,"(EC) 2009/1223",,,,,,15/10/2010
143,"1,1-Bis(dimethylaminomethyl)propyl benzoate (amydricaine, alypine) and its salts",963-07-5,213-512-6,"(EC) 2009/1223",,,,,,20/10/2010
144,"Methapyrilene (INN) and its salts",91-80-5,202-099-8,"(EC) 2009/1223",,,"1,2-Ethanediamine, N,N-dimethyl-N'-2-pyridinyl-N'-(2-thienylmethyl)- 
",,,20/10/2010
145,"Metamfepramone (INN) and its salts",15351-09-4,239-384-1,"(EC) 2009/1223",,,"1-Propanone, 2-(dimethylamino)-1-phenyl-",,,15/10/2010
146,"Amitriptyline (INN) and its salts",50-48-6,200-041-6,"(EC) 2009/1223",,,,",,",,15/10/2010
147,"Metformin (INN) and its salts",657-24-9,211-517-8,"(EC) 2009/1223",,,,,,20/10/2010
148,"Isosorbide dinitrate (INN)",87-33-2,201-740-9,"(EC) 2009/1223",,,,,,20/10/2010
149,Malononitrile,109-77-3,203-703-2,"(EC) 2009/1223",,,,,,15/10/2010
150,Succinonitrile,110-61-2,203-783-9,"(EC) 2009/1223",,,,,,15/10/2010
151,"Dinitrophenol isomers","51-28-5 / 329-71-5 / 573-56-8 / 25550-58-7","200-087-7 / 206-348-1 / 209-357-9 / 247-096-2","(EC) 2009/1223",,,,",,,",,15/10/2010
152,"Inproquone (INN)",436-40-8,-,"(EC) 2009/1223",,,"2,5-Bis(ethyleneimino)-3,6-dipropoxy-p-benzoquinone ",,,20/10/2010
153,"Dimevamide (INN) and its salts",60-46-8,200-479-8,"(EC) 2009/1223",,,,",",,20/10/2010
154,"Diphenylpyraline (INN) and its salts",147-20-6,205-686-7,"(EC) 2009/1223",,,,,,20/10/2010
155,"Sulfinpyrazone (INN)",57-96-5,200-357-4,"(EC) 2009/1223",,,,,,20/10/2010
156,"N-(3-Carbamoyl-3,3-diphenylpropyl)-N,N-diisopropylmethylammonium salts, e.g. isopropamide iodide (INN)",71-81-8,200-766-8,"(EC) 2009/1223",,,,",",,20/10/2010
157,"Benactyzine (INN)",302-40-9,206-123-8,"(EC) 2009/1223",,,,,,20/10/2010
158,"Benzatropine (INN) and its salts",86-13-5,-,"(EC) 2009/1223",,,,,,20/10/2010
159,"Cyclizine (INN) and its salts",82-92-8,201-445-5,"(EC) 2009/1223",,,"Piperazine, 1-(diphenylmethyl)-4-methyl-",,,20/10/2010
160,"5,5-Diphenyl-4-imidazolidone (Doxenitoin (INN))",3254-93-1,221-851-6,"(EC) 2009/1223",,,,,,20/10/2010
161,"Probenecid (INN)",57-66-9,200-344-3,"(EC) 2009/1223",,,,,,20/10/2010
162,"Disulfiram (INN); thiram (ISO) (INN)","97-77-8 / 137-26-8","202-607-8 / 205-286-2","(EC) 2009/1223",,,,THIRAM,,20/10/2010
163,"Emetine, its salts and derivatives",483-18-1,207-592-1,"(EC) 2009/1223",,,,,,15/10/2010
164,"Ephedrine and its salts",299-42-3,206-080-5,"(EC) 2009/1223",,,"Benzenemethanol, alpha-((1S)-1-(methylamino)ethyl)-, (alphaR)- 
",,,15/10/2010
165,"Oxanamide (INN) and its derivatives",126-93-2,-,"(EC) 2009/1223",,,"2,3-Epoxy-2-ethylhexanamide ",,,20/10/2010
166,"Eserine or physostigmine and its salts",57-47-6,200-332-8,"(EC) 2009/1223",,,"Pyrrolo(2,3-b)indol-5-ol, 1,2,3,3a,8,8a-hexahydro-1,3a,8-trimethyl-, methylcarbamate (ester), (3aS,8aR)- ",,,15/10/2010
167,"4-Aminobenzoic acid and its esters, with the free amino group",150-13-0,205-753-0,"(EC) 2013/344",,,,",PABA,GLYCERYL PABA,,,,,,BUTYL PABA,ETHYL PABA,DEFINED CELL CULTURE MEDIA,",,05/02/2014
168,"Choline salts and their esters e.g. choline chloride (INN)",67-48-1,200-655-4,"(EC) 2009/1223",,"Opinion concerning Choline Chloride,Opinion on Choline chloride,Opinion on Clarification of Annex II, entry 168 of the Cosmetics Directive: Cholin salts and their esters e.g. Choline chloride (INN)",,",,,,,,CHOLINE CHLORIDE,DEFINED CELL CULTURE MEDIA",,20/10/2010
169,"Caramiphen (INN) and its salts",77-22-5,201-013-6,"(EC) 2009/1223",,,,",",,20/10/2010
170,"Diethyl 4-nitrophenyl phosphate (Paraoxon - ISO)",311-45-5,206-221-0,"(EC) 2009/1223",,,,,,20/10/2010
171,"Metethoheptazine (INN) and its salts",509-84-2,-,"(EC) 2009/1223",,,,,,20/10/2010
172,"Oxpheneridine (INN) and its salts",546-32-7,-,"(EC) 2009/1223",,,"Ethyl 1-(beta-hydroxyphenethyl)-4-phenyl-4-piperidyl-carboxylate ",,,20/10/2010
173,"Ethoheptazine (INN) and its salts",77-15-6,201-007-3,"(EC) 2009/1223",,,,",",,20/10/2010
